year	total_trials	num_countries	multi_country_share	avg_countries_per_trial	hhi	share_us	share_europe	share_asia	share_north_america	share_oceania	share_latin_america	share_middle_east	share_africa
2001	26	11	0.038	1.04	0.182	0.308	0.385	0.269	0.346	0.000	0.000	0.038	0.000
2002	21	10	0.048	1.05	0.165	0.333	0.286	0.143	0.333	0.095	0.000	0.048	0.000
2003	28	10	0.071	1.07	0.200	0.393	0.429	0.214	0.393	0.000	0.000	0.036	0.000
2004	28	9	0.000	1.00	0.217	0.393	0.321	0.071	0.393	0.000	0.000	0.107	0.036
2005	32	12	0.000	1.00	0.242	0.438	0.344	0.062	0.500	0.000	0.000	0.000	0.000
2006	26	12	0.154	1.15	0.224	0.500	0.423	0.154	0.500	0.000	0.000	0.038	0.000
2007	39	16	0.051	1.05	0.205	0.436	0.333	0.103	0.462	0.026	0.000	0.051	0.000
2008	28	9	0.071	1.07	0.296	0.536	0.393	0.071	0.607	0.000	0.000	0.000	0.000
2009	48	14	0.000	1.00	0.226	0.438	0.250	0.208	0.438	0.021	0.021	0.021	0.021
2010	50	15	0.040	1.04	0.178	0.380	0.360	0.200	0.440	0.000	0.000	0.000	0.020
2011	64	15	0.047	1.05	0.239	0.469	0.234	0.203	0.516	0.016	0.016	0.047	0.000
2012	67	19	0.060	1.06	0.158	0.373	0.358	0.164	0.448	0.030	0.015	0.045	0.000
2013	92	18	0.022	1.02	0.153	0.348	0.293	0.239	0.402	0.000	0.000	0.054	0.000
2014	87	24	0.161	1.23	0.118	0.310	0.448	0.333	0.322	0.034	0.000	0.080	0.000
2015	102	26	0.196	1.25	0.101	0.284	0.500	0.284	0.333	0.029	0.010	0.059	0.010
2016	98	26	0.102	1.14	0.099	0.276	0.449	0.276	0.316	0.020	0.010	0.051	0.010
2017	108	25	0.213	1.30	0.109	0.333	0.537	0.287	0.352	0.037	0.019	0.028	0.009
2018	109	24	0.183	1.32	0.092	0.266	0.578	0.294	0.312	0.046	0.037	0.037	0.009
2019	105	26	0.238	1.39	0.088	0.305	0.552	0.343	0.381	0.029	0.019	0.038	0.010
2020	111	26	0.144	1.22	0.095	0.279	0.486	0.261	0.297	0.018	0.027	0.081	0.009
2021	140	25	0.214	1.31	0.088	0.243	0.593	0.357	0.257	0.000	0.014	0.064	0.007
2022	143	25	0.182	1.25	0.091	0.231	0.559	0.273	0.287	0.035	0.049	0.035	0.014
2023	155	27	0.200	1.23	0.098	0.232	0.510	0.361	0.245	0.019	0.032	0.045	0.006
2024	238	27	0.202	1.28	0.093	0.206	0.454	0.458	0.265	0.021	0.021	0.038	0.004
2025	292	24	0.264	1.32	0.121	0.168	0.555	0.527	0.195	0.021	0.007	0.017	0.000
