year,total,hic_only,lmic_only,hic_lmic_collab
2001,26.0,99.2,0.0,0.8
2002,21.0,79.8,19.2,1.0
2003,28.0,92.2,6.3,1.5
2004,28.0,95.7,4.3,0.0
2005,32.0,100.0,0.0,0.0
2006,26.0,92.6,4.0,3.3
2007,39.0,97.4,1.5,1.1
2008,28.0,96.8,1.7,1.5
2009,48.0,86.0,14.0,0.0
2010,50.0,93.9,5.2,0.8
2011,64.0,90.4,8.6,1.0
2012,67.0,94.0,4.8,1.3
2013,92.0,86.0,13.6,0.5
2014,87.0,84.5,12.0,3.5
2015,102.0,91.0,4.7,4.3
2016,98.0,81.5,16.3,2.2
2017,108.0,90.6,4.7,4.7
2018,109.0,89.8,6.2,4.0
2019,105.0,88.0,6.7,5.3
2020,111.0,82.1,14.8,3.1
2021,140.0,80.2,15.1,4.7
2022,143.0,75.7,20.4,4.0
2023,155.0,74.1,21.6,4.4
2024,238.0,71.8,23.8,4.4
2025,292.0,68.8,25.3,5.9
