journal	total
Surgical endoscopy	113
Journal of endourology	102
BJU international	71
The Journal of urology	56
Journal of robotic surgery	56
European urology	46
The international journal of medical robotics + computer assisted surgery : MRCAS	39
Journal of minimally invasive gynecology	34
Urology	32
Scientific reports	32
International journal of surgery (London, England)	30
Annals of surgery	29
International journal of gynecological cancer : official journal of the International Gynecological Cancer Society	27
The bone & joint journal	27
World journal of urology	25
BMC cancer	24
Trials	22
Journal of orthopaedic surgery and research	20
Annals of surgical oncology	19
BMC surgery	19
PloS one	17
Medicine	17
The Annals of thoracic surgery	16
American journal of obstetrics and gynecology	15
The British journal of surgery	14
Anesthesia and analgesia	14
Journal of laparoendoscopic & advanced surgical techniques. Part A	14
Surgical innovation	14
The Journal of surgical research	13
Clinical orthopaedics and related research	13
World journal of surgery	13
European urology focus	13
Anesthesiology	12
JSLS : Journal of the Society of Laparoendoscopic Surgeons	12
Acta anaesthesiologica Scandinavica	11
The Journal of arthroplasty	11
Gynecologic oncology	11
Journal of surgical education	11
JAMA network open	11
Obstetrics and gynecology	10
Hernia : the journal of hernias and abdominal wall surgery	10
BMJ open	10
Orthopaedic surgery	10
Diseases of the colon and rectum	9
Head & neck	9
International journal of colorectal disease	9
Female pelvic medicine & reconstructive surgery	9
Journal of neuroengineering and rehabilitation	9
BMC anesthesiology	9
The Journal of thoracic and cardiovascular surgery	8
International journal of urology : official journal of the Japanese Urological Association	8
International journal of radiation oncology, biology, physics	8
Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA	8
International urogynecology journal	8
BMC urology	8
Neurosurgery	7
Annals of plastic surgery	7
Laboratory animals	7
The Journal of bone and joint surgery. American volume	7
The Laryngoscope	7
Journal of the American College of Surgeons	7
Science translational medicine	7
Journal of clinical anesthesia	7
European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology	7
Journal of surgical oncology	7
Neurologia medico-chirurgica	7
British journal of anaesthesia	7
Medicina (Kaunas, Lithuania)	7
Endoscopy	7
Stereotactic and functional neurosurgery	6
Radiology	6
Archives of physical medicine and rehabilitation	6
The heart surgery forum	6
European journal of anaesthesiology	6
Surgery	6
Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology	6
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland	6
Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus	6
Innovations (Philadelphia, Pa.)	6
Journal of anesthesia	6
International journal of computer assisted radiology and surgery	6
The Lancet. Oncology	6
Journal of cancer research and clinical oncology	6
The lancet. Gastroenterology & hepatology	6
BJA open	6
Brain research	5
The Prostate	5
Fertility and sterility	5
Critical care medicine	5
Acta neurochirurgica	5
Computer aided surgery : official journal of the International Society for Computer Aided Surgery	5
Circulation	5
Chinese journal of traumatology = Zhonghua chuang shang za zhi	5
Surgical laparoscopy, endoscopy & percutaneous techniques	5
Pacing and clinical electrophysiology : PACE	5
Journal of cardiovascular electrophysiology	5
The Canadian journal of urology	5
BMC musculoskeletal disorders	5
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery	5
Actas urologicas espanolas	5
JAMA otolaryngology-- head & neck surgery	5
Urologia	5
Nature communications	5
European urology oncology	5
Clinical rehabilitation	5
Minerva urology and nephrology	5
Acta orthopaedica	5
Pain	4
Journal of neurology, neurosurgery, and psychiatry	4
Life sciences	4
Surgical neurology	4
Journal of reconstructive microsurgery	4
European journal of cancer (Oxford, England : 1990)	4
Perfusion	4
Clinical cancer research : an official journal of the American Association for Cancer Research	4
Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery	4
Chest	4
Archives of otolaryngology--head & neck surgery	4
Journal of interventional cardiac electrophysiology : an international journal of arrhythmias and pacing	4
Journal of cardiothoracic and vascular anesthesia	4
Langenbeck's archives of surgery	4
Brain injury	4
Spine	4
Yonsei medical journal	4
Journal of the American Association for Laboratory Animal Science : JAALAS	4
European journal of obstetrics, gynecology, and reproductive biology	4
BioMed research international	4
The Journal of craniofacial surgery	4
Urologiia (Moscow, Russia : 1999)	4
International braz j urol : official journal of the Brazilian Society of Urology	4
Lancet (London, England)	4
Urologic oncology	4
Clinical otolaryngology : official journal of ENT-UK ; official journal of Netherlands Society for Oto-Rhino-Laryngology & Cervico-Facial Surgery	4
JAMA	4
World journal of surgical oncology	4
Annals of biomedical engineering	4
European journal of nuclear medicine and molecular imaging	4
JAMA surgery	4
Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery	4
International orthopaedics	4
Clinical oral implants research	4
Therapeutic hypothermia and temperature management	4
Journal of cancer research and therapeutics	4
Journal of musculoskeletal & neuronal interactions	4
Annals of the Royal College of Surgeons of England	3
Acta chirurgica Belgica	3
The Journal of clinical investigation	3
Journal of wound care	3
Der Orthopade	3
Der Chirurg; Zeitschrift fur alle Gebiete der operativen Medizen	3
Shock (Augusta, Ga.)	3
Anaesthesia	3
European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery	3
The Journal of pharmacology and experimental therapeutics	3
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	3
The Knee	3
Spinal cord	3
The Journal of trauma	3
Acta neurochirurgica. Supplement	3
Archives of surgery (Chicago, Ill. : 1960)	3
Studies in health technology and informatics	3
Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology	3
Photomedicine and laser surgery	3
Journal of the American College of Cardiology	3
Neurological research	3
Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine	3
Surgical technology international	3
Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery	3
