journal	total
Surgical endoscopy	654
Journal of robotic surgery	469
BJU international	269
The Journal of urology	252
Journal of endourology	245
The Journal of surgical research	242
Urology	203
World journal of urology	191
Brain research	185
Annals of surgery	163
Surgery	157
European urology	150
The Annals of thoracic surgery	146
The international journal of medical robotics + computer assisted surgery : MRCAS	137
Plastic and reconstructive surgery	136
Journal of pediatric surgery	134
Microsurgery	133
Scientific reports	132
International journal of surgery (London, England)	131
The Journal of thoracic and cardiovascular surgery	116
Transplantation proceedings	103
Experimental neurology	103
Annals of surgical oncology	102
Journal of laparoendoscopic & advanced surgical techniques. Part A	101
Journal of reconstructive microsurgery	100
Neurosurgery	94
Spine	93
International journal of gynecological cancer : official journal of the International Gynecological Cancer Society	90
Journal of minimally invasive gynecology	89
The Laryngoscope	85
JSLS : Journal of the Society of Laparoendoscopic Surgeons	85
PloS one	85
Transplantation	83
American journal of surgery	82
Pediatric surgery international	82
Hernia : the journal of hernias and abdominal wall surgery	82
The Journal of trauma	80
Anesthesia and analgesia	80
Neuroscience letters	77
European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology	76
Langenbeck's archives of surgery	76
BMC surgery	76
Annals of plastic surgery	73
World journal of surgery	71
Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract	71
Anesthesiology	70
European surgical research. Europaische chirurgische Forschung. Recherches chirurgicales europeennes	68
International journal of colorectal disease	66
The American journal of physiology	65
Journal of neurosurgery	65
Digestive diseases and sciences	65
Pain	64
Neuroscience	64
Acta cirurgica brasileira	64
The American surgeon	62
Urologic oncology	62
Behavioural brain research	61
Gynecologic oncology	61
Critical care medicine	60
Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons	60
International journal of urology : official journal of the Japanese Urological Association	60
Surgical laparoscopy, endoscopy & percutaneous techniques	59
Biulleten' eksperimental'noi biologii i meditsiny	58
Journal of surgical oncology	58
Bone	58
Diseases of the colon and rectum	57
Journal of orthopaedic surgery and research	57
Archives of surgery (Chicago, Ill. : 1960)	55
Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery	55
The Journal of arthroplasty	55
Techniques in coloproctology	55
Journal of pediatric urology	55
Medicine	55
Neurological research	54
The Journal of craniofacial surgery	53
The Journal of neuroscience : the official journal of the Society for Neuroscience	53
Journal of vascular surgery	52
The British journal of surgery	51
American journal of obstetrics and gynecology	51
European journal of pharmacology	51
Urologia internationalis	50
Head & neck	50
Obesity surgery	50
Surgery today	49
Journal of neurotrauma	49
The European journal of neuroscience	48
BMC cancer	48
Life sciences	47
Clinical oral implants research	47
Minerva urology and nephrology	47
Journal of periodontology	46
European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery	45
Photomedicine and laser surgery	45
BMC urology	45
European urology focus	44
Journal of orthopaedic research : official publication of the Orthopaedic Research Society	43
Lasers in surgery and medicine	43
Journal of neuroscience methods	43
HPB : the official journal of the International Hepato Pancreato Biliary Association	43
The Journal of bone and joint surgery. American volume	42
International journal of oral and maxillofacial surgery	42
Hypertension (Dallas, Tex. : 1979)	41
Fertility and sterility	40
Journal of investigative surgery : the official journal of the Academy of Surgical Research	40
Journal of cardiovascular pharmacology	40
Shock (Augusta, Ga.)	40
International braz j urol : official journal of the Brazilian Society of Urology	39
Stroke	38
International urology and nephrology	38
Clinical orthopaedics and related research	38
Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA	38
The bone & joint journal	38
International urogynecology journal	37
Updates in surgery	37
Scandinavian journal of gastroenterology	36
Acta oto-laryngologica	36
Physiology & behavior	35
The journal of trauma and acute care surgery	35
Journal of cancer research and clinical oncology	34
Circulation	34
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery	34
Archives of orthopaedic and trauma surgery	34
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation	33
Clinical and experimental pharmacology & physiology	33
Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery	33
Female pelvic medicine & reconstructive surgery	33
Zhurnal vysshei nervnoi deiatelnosti imeni I P Pavlova	32
Surgery, gynecology & obstetrics	32
Journal of neuroscience research	32
Burns : journal of the International Society for Burn Injuries	32
American journal of physiology. Heart and circulatory physiology	32
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland	32
Journal of plastic, reconstructive & aesthetic surgery : JPRAS	32
JPEN. Journal of parenteral and enteral nutrition	31
European journal of obstetrics, gynecology, and reproductive biology	31
Obstetrics and gynecology	31
Hepatobiliary & pancreatic diseases international : HBPD INT	31
Surgical innovation	31
World journal of surgical oncology	31
World neurosurgery	31
Journal of biomedical materials research	30
Zhonghua wai ke za zhi [Chinese journal of surgery]	30
Journal of neurochemistry	30
Endocrinology	29
The European journal of surgery = Acta chirurgica	29
The Journal of pharmacology and experimental therapeutics	29
Hepato-gastroenterology	29
Neuroreport	29
Journal of the American College of Surgeons	29
The Canadian journal of urology	29
Innovations (Philadelphia, Pa.)	29
Laboratory animals	28
The American journal of sports medicine	28
American journal of physiology. Regulatory, integrative and comparative physiology	28
Asian journal of endoscopic surgery	28
The Journal of comparative neurology	27
Archives of oral biology	27
The British journal of oral & maxillofacial surgery	27
Lasers in medical science	27
Journal of surgical education	27
Acta neurochirurgica	26
The Journal of hand surgery	26
Hearing research	26
European journal of pediatric surgery : official journal of Austrian Association of Pediatric Surgery ... [et al] = Zeitschrift fur Kinderchirurgie	26
Cell transplantation	26
Asian journal of surgery	26
International journal of computer assisted radiology and surgery	26
Biomaterials	25
The Annals of otology, rhinology, and laryngology	25
Surgical oncology	24
Neurologia medico-chirurgica	24
Brain research bulletin	24
Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery	24
Medicina (Kaunas, Lithuania)	24
ANZ journal of surgery	24
Orthopaedic surgery	24
Minerva urologica e nefrologica = The Italian journal of urology and nephrology	24
Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery	23
Cardiovascular research	23
Archives of otolaryngology--head & neck surgery	23
Transplant international : official journal of the European Society for Organ Transplantation	23
Neuropharmacology	23
Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics	23
World journal of gastroenterology	23
JAMA otolaryngology-- head & neck surgery	23
JAMA network open	23
Journal of dental research	22
Scandinavian journal of plastic and reconstructive surgery and hand surgery	22
Calcified tissue international	22
Annals of vascular surgery	22
Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association	22
BMC musculoskeletal disorders	22
Minimally invasive therapy & allied technologies : MITAT : official journal of the Society for Minimally Invasive Therapy	22
Trials	22
Gastroenterology	21
Oral surgery, oral medicine, and oral pathology	21
Hepatology (Baltimore, Md.)	21
British journal of pharmacology	21
Surgical neurology	21
American journal of otolaryngology	21
