country	total
United States	8783
England	3574
Germany	1889
Netherlands	1274
Switzerland	565
Japan	394
Italy	349
Russia (Federation)	272
France	268
China	218
Australia	217
Brazil	216
Ireland	211
Denmark	139
Spain	112
Scotland	95
Greece	83
Sweden	82
Turkey	73
Singapore	66
Canada	64
Poland	62
Korea (South)	58
Austria	51
India	37
Ukraine	34
Czech Republic	23
Hungary	21
Belgium	14
China (Republic : 1949- )	14
New Zealand	14
Iran	13
Mexico	13
Romania	13
Slovakia	11
Pakistan	10
Israel	8
Finland	7
United Arab Emirates	7
South Africa	5
Thailand	4
Bulgaria	3
Egypt	3
Saudi Arabia	2
Cyprus	2
Colombia	2
Georgia (Republic)	2
Puerto Rico	2
Argentina	1
Norway	1
Kenya	1
Croatia	1
Tunisia	1
Serbia	1
Nigeria	1
Lebanon	1
Nepal	1
Uganda	1
