design_type	year	count
Comparative Study	1958	1
Comparative Study	1964	1
Comparative Study	1967	2
Comparative Study	1968	3
Comparative Study	1969	5
Comparative Study	1970	3
Comparative Study	1971	4
Comparative Study	1973	1
Comparative Study	1974	24
Comparative Study	1975	40
Comparative Study	1976	52
Comparative Study	1977	46
Comparative Study	1978	61
Comparative Study	1979	46
Comparative Study	1980	65
Comparative Study	1981	43
Comparative Study	1982	64
Comparative Study	1983	95
Comparative Study	1984	92
Comparative Study	1985	90
Comparative Study	1986	125
Comparative Study	1987	144
Comparative Study	1988	165
Comparative Study	1989	186
Comparative Study	1990	202
Comparative Study	1991	199
Comparative Study	1992	266
Comparative Study	1993	252
Comparative Study	1994	284
Comparative Study	1995	346
Comparative Study	1996	314
Comparative Study	1997	298
Comparative Study	1998	319
Comparative Study	1999	342
Comparative Study	2000	284
Comparative Study	2001	263
Comparative Study	2002	345
Comparative Study	2003	534
Comparative Study	2004	642
Comparative Study	2005	635
Comparative Study	2006	521
Comparative Study	2007	340
Comparative Study	2008	421
Comparative Study	2009	409
Comparative Study	2010	482
Comparative Study	2011	603
Comparative Study	2012	574
Comparative Study	2013	604
Comparative Study	2014	492
Comparative Study	2015	423
Comparative Study	2016	504
Comparative Study	2017	398
Comparative Study	2018	460
Comparative Study	2019	437
Comparative Study	2020	356
Comparative Study	2021	232
Comparative Study	2022	47
Comparative Study	2023	28
Comparative Study	2024	794
Comparative Study	2025	1410
Clinical Trial	1977	3
Clinical Trial	1978	5
Clinical Trial	1979	1
Clinical Trial	1981	2
Clinical Trial	1982	1
Clinical Trial	1983	2
Clinical Trial	1986	3
Clinical Trial	1987	3
Clinical Trial	1988	1
Clinical Trial	1989	2
Clinical Trial	1990	4
Clinical Trial	1991	5
Clinical Trial	1992	5
Clinical Trial	1993	1
Clinical Trial	1994	9
Clinical Trial	1995	7
Clinical Trial	1996	10
Clinical Trial	1997	13
Clinical Trial	1998	16
Clinical Trial	1999	12
Clinical Trial	2000	19
Clinical Trial	2001	26
Clinical Trial	2002	21
Clinical Trial	2003	27
Clinical Trial	2004	26
Clinical Trial	2005	23
Clinical Trial	2006	12
Clinical Trial	2007	23
Clinical Trial	2008	16
Clinical Trial	2009	27
Clinical Trial	2010	29
Clinical Trial	2011	27
Clinical Trial	2012	32
Clinical Trial	2013	36
Clinical Trial	2014	35
Clinical Trial	2015	28
Clinical Trial	2016	27
Clinical Trial	2017	26
Clinical Trial	2018	37
Clinical Trial	2019	22
Clinical Trial	2020	7
Clinical Trial	2021	23
Clinical Trial	2022	13
Clinical Trial	2023	20
Clinical Trial	2024	28
Clinical Trial	2025	40
Randomized Controlled Trial	1977	1
Randomized Controlled Trial	1978	1
Randomized Controlled Trial	1981	1
Randomized Controlled Trial	1983	1
Randomized Controlled Trial	1986	1
Randomized Controlled Trial	1987	1
Randomized Controlled Trial	1990	1
Randomized Controlled Trial	1991	2
Randomized Controlled Trial	1992	1
Randomized Controlled Trial	1993	1
Randomized Controlled Trial	1994	4
Randomized Controlled Trial	1995	3
