year,high_income,lower_middle,upper_middle,total,low_income,non_hic,non_hic_pct,china,non_hic_ex_china,non_hic_ex_china_pct
2001,25,0,0,25,0,0,0.0,0,0,0.0
2002,13,3,0,16,0,3,18.75,3,0,0.0
2003,24,2,0,26,0,2,7.6923076923076925,2,0,0.0
2004,18,1,0,19,0,1,5.263157894736842,0,1,5.263157894736842
2005,24,0,0,24,0,0,0.0,0,0,0.0
2006,25,2,0,27,0,2,7.4074074074074066,2,0,0.0
2007,35,1,0,36,0,1,2.7777777777777777,1,0,0.0
2008,29,0,0,29,0,0,0.0,0,0,0.0
2009,38,6,1,45,0,7,15.555555555555555,1,6,13.333333333333334
2010,46,2,1,49,0,3,6.122448979591836,1,2,4.081632653061225
2011,54,0,6,60,0,6,10.0,5,1,1.6666666666666667
2012,64,1,3,68,0,4,5.88235294117647,2,2,2.941176470588235
2013,73,2,9,84,0,11,13.095238095238097,6,5,5.952380952380952
2014,74,1,12,87,0,13,14.942528735632186,10,3,3.4482758620689653
2015,98,3,7,108,0,10,9.25925925925926,6,4,3.7037037037037033
2016,80,3,13,96,0,16,16.666666666666664,11,5,5.208333333333334
2017,108,3,6,117,0,9,7.6923076923076925,5,4,3.418803418803419
2018,119,3,10,132,0,13,9.848484848484848,7,6,4.545454545454546
2019,110,5,11,126,0,16,12.698412698412698,6,10,7.936507936507936
2020,91,4,20,115,0,24,20.869565217391305,12,12,10.434782608695652
2021,127,5,31,163,0,36,22.085889570552148,23,13,7.975460122699387
2022,119,5,37,161,0,42,26.08695652173913,24,18,11.180124223602485
2023,126,2,42,170,0,44,25.882352941176475,32,12,7.0588235294117645
2024,199,8,67,274,0,75,27.37226277372263,58,17,6.204379562043796
2025,265,6,103,374,0,109,29.144385026737968,101,8,2.13903743315508
