country	total
United States	612
China	318
United Kingdom	292
South Korea	188
Germany	178
Italy	161
Japan	119
France	99
Netherlands	84
Canada	83
Denmark	52
Turkey	49
Sweden	47
India	46
Spain	43
Switzerland	42
Belgium	41
Australia	37
Brazil	37
Israel	27
Finland	23
Hong Kong	19
Norway	19
Singapore	17
Austria	15
Mexico	11
Taiwan	11
New Zealand	11
Russia	10
Egypt	9
Czech Republic	9
Iran	9
Poland	8
Greece	8
Ireland	6
Saudi Arabia	6
Colombia	5
Thailand	4
Chile	4
South Africa	4
United Arab Emirates	3
Malaysia	3
Pakistan	2
Hungary	2
Argentina	2
Portugal	1
Nigeria	1
