country_name,country_code,income_level
Aruba,ABW,High income
Africa Eastern and Southern,AFE,Aggregates
Afghanistan,AFG,Low income
Africa,AFR,Aggregates
Africa Western and Central,AFW,Aggregates
Angola,AGO,Lower middle income
Albania,ALB,Upper middle income
Andorra,AND,High income
Arab World,ARB,Aggregates
United Arab Emirates,ARE,High income
Argentina,ARG,Upper middle income
Armenia,ARM,Upper middle income
American Samoa,ASM,High income
Antigua and Barbuda,ATG,High income
Australia,AUS,High income
Austria,AUT,High income
Azerbaijan,AZE,Upper middle income
Burundi,BDI,Low income
East Asia & Pacific (IBRD-only countries),BEA,Aggregates
Europe & Central Asia (IBRD-only countries),BEC,Aggregates
Belgium,BEL,High income
Benin,BEN,Lower middle income
Burkina Faso,BFA,Low income
Bangladesh,BGD,Lower middle income
Bulgaria,BGR,High income
IBRD countries classified as high income,BHI,Aggregates
Bahrain,BHR,High income
Bahamas  The,BHS,High income
Bosnia and Herzegovina,BIH,Upper middle income
Latin America & the Caribbean (IBRD-only countries),BLA,Aggregates
Belarus,BLR,Upper middle income
Belize,BLZ,Upper middle income
Middle East  North Africa  Afghanistan & Pakistan (IBRD only),BMN,Aggregates
Bermuda,BMU,High income
Bolivia,BOL,Lower middle income
Brazil,BRA,Upper middle income
Barbados,BRB,High income
Brunei Darussalam,BRN,High income
Sub-Saharan Africa (IBRD-only countries),BSS,Aggregates
Bhutan,BTN,Lower middle income
Botswana,BWA,Upper middle income
Sub-Saharan Africa (IFC classification),CAA,Aggregates
Central African Republic,CAF,Low income
Canada,CAN,High income
East Asia and the Pacific (IFC classification),CEA,Aggregates
Central Europe and the Baltics,CEB,Aggregates
Europe and Central Asia (IFC classification),CEU,Aggregates
Switzerland,CHE,High income
Channel Islands,CHI,High income
Chile,CHL,High income
China,CHN,Upper middle income
Cote d'Ivoire,CIV,Lower middle income
Latin America and the Caribbean (IFC classification),CLA,Aggregates
Middle East and North Africa (IFC classification),CME,Aggregates
Cameroon,CMR,Lower middle income
Congo  Dem. Rep.,COD,Low income
Congo  Rep.,COG,Lower middle income
Colombia,COL,Upper middle income
Comoros,COM,Lower middle income
Cabo Verde,CPV,Upper middle income
Costa Rica,CRI,High income
South Asia (IFC classification),CSA,Aggregates
Caribbean small states,CSS,Aggregates
Cuba,CUB,Upper middle income
Curacao,CUW,High income
Cayman Islands,CYM,High income
Cyprus,CYP,High income
Czechia,CZE,High income
East Asia & Pacific (IDA-eligible countries),DEA,Aggregates
Europe & Central Asia (IDA-eligible countries),DEC,Aggregates
Germany,DEU,High income
Djibouti,DJI,Lower middle income
Latin America & the Caribbean (IDA-eligible countries),DLA,Aggregates
Dominica,DMA,Upper middle income
Middle East  North Africa  Afghanistan & Pakistan (IDA total),DMN,Aggregates
Denmark,DNK,High income
IDA countries in Sub-Saharan Africa not classified as fragile situations ,DNS,Aggregates
Dominican Republic,DOM,Upper middle income
South Asia (IDA-eligible countries),DSA,Aggregates
IDA countries in Sub-Saharan Africa classified as fragile situations ,DSF,Aggregates
Sub-Saharan Africa (IDA-eligible countries),DSS,Aggregates
Algeria,DZA,Upper middle income
East Asia & Pacific (excluding high income),EAP,Aggregates
Early-demographic dividend,EAR,Aggregates
East Asia & Pacific,EAS,Aggregates
Europe & Central Asia (excluding high income),ECA,Aggregates
Europe & Central Asia,ECS,Aggregates
Ecuador,ECU,Upper middle income
Egypt  Arab Rep.,EGY,Lower middle income
Euro area,EMU,Aggregates
Eritrea,ERI,Low income
Spain,ESP,High income
Estonia,EST,High income
Ethiopia,ETH,Not classified
European Union,EUU,Aggregates
Fragile and conflict affected situations,FCS,Aggregates
Finland,FIN,High income
Fiji,FJI,Upper middle income
France,FRA,High income
Faroe Islands,FRO,High income
Micronesia  Fed. Sts.,FSM,Lower middle income
IDA countries classified as fragile situations  excluding Sub-Saharan Africa,FXS,Aggregates
Gabon,GAB,Upper middle income
United Kingdom,GBR,High income
Georgia,GEO,Upper middle income
Ghana,GHA,Lower middle income
Gibraltar,GIB,High income
Guinea,GIN,Lower middle income
Gambia  The,GMB,Low income
Guinea-Bissau,GNB,Low income
Equatorial Guinea,GNQ,Upper middle income
Greece,GRC,High income
Grenada,GRD,Upper middle income
Greenland,GRL,High income
Guatemala,GTM,Upper middle income
Guam,GUM,High income
Guyana,GUY,High income
High income,HIC,Aggregates
Hong Kong SAR  China,HKG,High income
Honduras,HND,Lower middle income
Heavily indebted poor countries (HIPC),HPC,Aggregates
Croatia,HRV,High income
Haiti,HTI,Lower middle income
Hungary,HUN,High income
IBRD  including blend,IBB,Aggregates
IBRD only,IBD,Aggregates
IDA & IBRD total,IBT,Aggregates
IDA total,IDA,Aggregates
IDA blend,IDB,Aggregates
Indonesia,IDN,Upper middle income
IDA only,IDX,Aggregates
Isle of Man,IMN,High income
India,IND,Lower middle income
Not classified,INX,Aggregates
Ireland,IRL,High income
Iran  Islamic Rep.,IRN,Upper middle income
Iraq,IRQ,Upper middle income
Iceland,ISL,High income
Israel,ISR,High income
Italy,ITA,High income
Jamaica,JAM,Upper middle income
Jordan,JOR,Lower middle income
Japan,JPN,High income
Kazakhstan,KAZ,Upper middle income
Kenya,KEN,Lower middle income
Kyrgyz Republic,KGZ,Lower middle income
Cambodia,KHM,Lower middle income
Kiribati,KIR,Lower middle income
St. Kitts and Nevis,KNA,High income
Korea  Rep.,KOR,High income
Kuwait,KWT,High income
Latin America & Caribbean (excluding high income),LAC,Aggregates
Lao PDR,LAO,Lower middle income
Lebanon,LBN,Lower middle income
Liberia,LBR,Low income
Libya,LBY,Upper middle income
St. Lucia,LCA,Upper middle income
Latin America & Caribbean ,LCN,Aggregates
Least developed countries: UN classification,LDC,Aggregates
Low income,LIC,Aggregates
Liechtenstein,LIE,High income
Sri Lanka,LKA,Lower middle income
Lower middle income,LMC,Aggregates
Low & middle income,LMY,Aggregates
Lesotho,LSO,Lower middle income
Late-demographic dividend,LTE,Aggregates
Lithuania,LTU,High income
Luxembourg,LUX,High income
Latvia,LVA,High income
Macao SAR  China,MAC,High income
St. Martin (French part),MAF,High income
Morocco,MAR,Lower middle income
Monaco,MCO,High income
Moldova,MDA,Upper middle income
Middle East (developing only),MDE,Aggregates
Madagascar,MDG,Low income
Maldives,MDV,Upper middle income
Middle East  North Africa  Afghanistan & Pakistan,MEA,Aggregates
Mexico,MEX,Upper middle income
Marshall Islands,MHL,Upper middle income
Middle income,MIC,Aggregates
North Macedonia,MKD,Upper middle income
Mali,MLI,Low income
Malta,MLT,High income
Myanmar,MMR,Lower middle income
Middle East  North Africa  Afghanistan & Pakistan (excluding high income),MNA,Aggregates
Montenegro,MNE,Upper middle income
Mongolia,MNG,Upper middle income
Northern Mariana Islands,MNP,High income
Mozambique,MOZ,Low income
Mauritania,MRT,Lower middle income
Mauritius,MUS,Upper middle income
Malawi,MWI,Low income
Malaysia,MYS,Upper middle income
North America,NAC,Aggregates
North Africa,NAF,Aggregates
Namibia,NAM,Lower middle income
New Caledonia,NCL,High income
Niger,NER,Low income
Nigeria,NGA,Lower middle income
Nicaragua,NIC,Lower middle income
Netherlands,NLD,High income
Norway,NOR,High income
Nepal,NPL,Lower middle income
Non-resource rich Sub-Saharan Africa countries,NRS,Aggregates
Nauru,NRU,High income
IDA countries not classified as fragile situations  excluding Sub-Saharan Africa,NXS,Aggregates
New Zealand,NZL,High income
OECD members,OED,Aggregates
Oman,OMN,High income
Other small states,OSS,Aggregates
Pakistan,PAK,Lower middle income
Panama,PAN,High income
Peru,PER,Upper middle income
Philippines,PHL,Lower middle income
Palau,PLW,High income
Papua New Guinea,PNG,Lower middle income
Poland,POL,High income
Pre-demographic dividend,PRE,Aggregates
Puerto Rico (US),PRI,High income
Korea  Dem. People's Rep.,PRK,Low income
Portugal,PRT,High income
Paraguay,PRY,Upper middle income
West Bank and Gaza,PSE,Lower middle income
Pacific island small states,PSS,Aggregates
Post-demographic dividend,PST,Aggregates
French Polynesia,PYF,High income
Qatar,QAT,High income
Romania,ROU,High income
Resource rich Sub-Saharan Africa countries,RRS,Aggregates
Russian Federation,RUS,High income
Rwanda,RWA,Low income
South Asia,SAS,Aggregates
Saudi Arabia,SAU,High income
Sudan,SDN,Low income
Senegal,SEN,Lower middle income
Singapore,SGP,High income
Solomon Islands,SLB,Lower middle income
Sierra Leone,SLE,Low income
El Salvador,SLV,Upper middle income
San Marino,SMR,High income
Somalia  Fed. Rep.,SOM,Low income
Serbia,SRB,Upper middle income
Sub-Saharan Africa (excluding high income),SSA,Aggregates
South Sudan,SSD,Low income
Sub-Saharan Africa ,SSF,Aggregates
Small states,SST,Aggregates
Sao Tome and Principe,STP,Lower middle income
Suriname,SUR,Upper middle income
Slovak Republic,SVK,High income
Slovenia,SVN,High income
Sweden,SWE,High income
Eswatini,SWZ,Lower middle income
Sint Maarten (Dutch part),SXM,High income
Sub-Saharan Africa excluding South Africa,SXZ,Aggregates
Seychelles,SYC,High income
Syrian Arab Republic,SYR,Low income
Turks and Caicos Islands,TCA,High income
Chad,TCD,Low income
East Asia & Pacific (IDA & IBRD countries),TEA,Aggregates
Europe & Central Asia (IDA & IBRD countries),TEC,Aggregates
Togo,TGO,Low income
Thailand,THA,Upper middle income
