country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
United States,8,6,10,8,13,12,15,14,20,18,30,25,31,26,28,25,35,29,31,30,34,32,35,48,49,612
China,0,3,2,0,0,2,1,0,1,1,5,2,6,10,6,11,5,7,6,12,23,24,32,58,101,318
United Kingdom,2,2,5,0,3,3,4,4,2,2,8,7,7,16,15,11,14,19,14,11,19,23,17,32,52,292
South Korea,0,0,0,0,0,0,2,1,5,5,8,4,11,12,17,8,16,14,13,9,12,6,12,14,19,188
Germany,2,3,4,4,6,3,4,4,3,6,1,5,4,1,6,6,6,9,8,8,14,11,12,16,32,178
Italy,1,0,1,4,1,2,1,1,3,2,2,1,4,3,10,7,12,11,10,14,14,13,17,17,10,161
Japan,7,0,3,2,1,1,1,1,0,3,0,2,2,4,4,5,6,8,7,6,9,3,8,20,16,119
France,1,0,1,0,1,1,1,0,3,5,0,3,6,2,2,7,6,8,4,2,6,4,9,14,13,99
Netherlands,0,0,1,1,0,1,1,1,1,1,1,4,0,3,3,4,3,5,8,4,7,10,2,12,11,84
Canada,1,0,0,0,2,0,1,2,0,3,3,5,5,1,5,4,2,5,8,2,2,8,2,14,8,83
Denmark,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,4,2,2,5,3,5,4,7,15,52
Turkey,0,1,1,3,0,0,0,0,1,0,3,2,2,4,5,1,1,1,3,4,3,5,4,5,0,49
Sweden,1,0,0,0,0,0,1,0,0,1,0,0,0,4,6,3,2,4,6,4,4,1,3,6,1,47
India,0,0,0,0,0,0,0,0,4,1,0,1,2,1,2,2,2,2,4,2,5,5,2,5,6,46
Spain,1,0,0,0,0,0,0,0,0,0,1,3,2,5,3,2,0,1,0,0,5,4,4,2,10,43
Switzerland,0,0,0,0,1,0,0,1,0,1,1,1,4,1,1,0,4,3,1,1,3,3,3,3,10,42
Belgium,1,1,0,1,1,0,3,0,0,1,1,0,1,1,1,1,1,0,2,2,3,4,8,2,6,41
Australia,0,2,0,0,0,0,1,0,1,0,1,2,0,2,2,1,1,4,2,2,0,4,3,5,4,37
Brazil,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,2,4,2,3,2,7,5,5,2,37
Israel,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,3,1,3,6,0,2,0,4,27
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,6,0,3,1,1,1,1,1,3,23
Hong Kong,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,6,5,19
Norway,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,1,2,0,4,1,0,0,5,19
Singapore,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,2,7,17
Austria,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,1,1,0,1,3,1,0,0,2,0,15
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,0,0,1,0,0,2,11
Mexico,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,2,0,11
Taiwan,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,1,4,0,11
Russia,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2,1,2,0,0,10
Egypt,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,9
Czech Republic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,1,1,1,9
Iran,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,0,2,0,9
Poland,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,8
Greece,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,8
Ireland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,6
Saudi Arabia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,6
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,5
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,4
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,4
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3
Pakistan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Hungary,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Argentina,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Portugal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
