pmid	year	countries
7624641	1994	United Kingdom,United States
7827906	1994	Sweden,United Kingdom
9111460	1997	Hong Kong,United Kingdom
9671378	1998	Israel,United States
9710388	1998	Japan,United Kingdom
10172974	1997	United Kingdom,United States
10381799	1999	United Kingdom,United States
10805302	2000	United Kingdom,United States
11527675	2001	Japan,United Kingdom
12235506	2002	United Kingdom,United States
12682744	2003	Japan,United Kingdom
14518544	2003	Japan,United Kingdom
16353140	2006	Japan,United Kingdom
16928484	2006	France,United States
17520622	2006	United Kingdom,United States
17520625	2006	Israel,United States
17646225	2007	Israel,United States
17920481	2007	South Korea,United Kingdom
18566965	2008	Germany,United Kingdom
18984532	2008	Germany,United Kingdom
19793149	2010	Germany,United Kingdom
20689276	2010	South Korea,United Kingdom
20943317	2011	United Kingdom,United States
21114412	2011	South Korea,United States
22131088	2012	Japan,United Kingdom
22177178	2012	India,United States
22510121	2012	Australia,United Kingdom
22864881	2012	South Korea,United Kingdom
23356829	2013	Switzerland,United Kingdom
23492512	2013	South Korea,United States
23833240	2014	Spain,Sweden
24296806	2014	Iran,United Kingdom
24360715	2014	South Korea,United Kingdom,United States
24387929	2014	Japan,United Kingdom
24388099	2014	India,United States
24464386	2014	South Korea,United Kingdom
24504007	2014	Australia,China,United Kingdom
24582536	2014	Finland,Sweden
24805071	2014	Sweden,United Kingdom,United States
24878453	2014	South Korea,United States
24946742	2014	United Kingdom,United States
25041850	2014	France,United Kingdom,United States
25064455	2014	Japan,South Korea,United Kingdom,United States
25093611	2014	China,Hong Kong
25150644	2015	Australia,Canada
25238424	2015	India,United States
25391441	2015	Germany,United Kingdom
25444990	2015	Australia,United Kingdom
25526908	2015	United Kingdom,United States
25560809	2015	Canada,Germany,Spain,United Kingdom
25689839	2015	New Zealand,United States
25720557	2015	Germany,United Kingdom
25721452	2015	Canada,United Kingdom
25782919	2016	South Korea,United States
25840895	2016	France,Italy
25861746	2015	Italy,Spain
25887253	2015	France,Italy
25916972	2015	Denmark,Switzerland
26033972	2015	Germany,Japan,Netherlands,United States
26212891	2015	Turkey,United Kingdom
26216480	2015	China,Denmark
26489972	2015	Israel,United States
26495971	2015	Brazil,Germany,Italy,Spain
26531197	2015	Canada,United States
26575249	2015	Italy,South Korea
26631633	2015	Canada,United States
26798037	2016	Italy,United States
26825853	2016	China,Saudi Arabia,United States
26867018	2016	Sweden,United States
26947602	2016	Canada,Germany,Italy,United States
26969218	2016	Germany,United States
27017214	2017	Singapore,United States
27098143	2016	Spain,United States
27189375	2017	China,France
27317030	2017	Italy,United Kingdom
27362908	2017	Israel,United States
27544575	2017	Switzerland,United Kingdom
27644009	2016	Canada,France,Italy
27807349	2016	Japan,United Kingdom
27862866	2017	Germany,United States
27867080	2017	South Korea,United States
27923167	2017	Israel,United States
28028637	2017	Japan,United Kingdom
28107408	2017	South Korea,United Kingdom
28111300	2017	Australia,New Zealand
28111893	2017	France,United States
28169927	2017	China,France
28319517	2017	South Korea,United Kingdom
