file	kept	input_total
surgery_clinical_trials_pubmed25n0001.xml	5	139
surgery_clinical_trials_pubmed25n0002.xml	0	267
surgery_clinical_trials_pubmed25n0003.xml	2	286
surgery_clinical_trials_pubmed25n0004.xml	7	236
surgery_clinical_trials_pubmed25n0005.xml	8	204
surgery_clinical_trials_pubmed25n0006.xml	3	165
surgery_clinical_trials_pubmed25n0007.xml	9	103
surgery_clinical_trials_pubmed25n0008.xml	3	133
surgery_clinical_trials_pubmed25n0009.xml	4	161
surgery_clinical_trials_pubmed25n0010.xml	4	238
surgery_clinical_trials_pubmed25n0011.xml	6	375
surgery_clinical_trials_pubmed25n0012.xml	8	539
surgery_clinical_trials_pubmed25n0013.xml	5	457
surgery_clinical_trials_pubmed25n0014.xml	12	245
surgery_clinical_trials_pubmed25n0015.xml	3	223
surgery_clinical_trials_pubmed25n0016.xml	7	228
surgery_clinical_trials_pubmed25n0017.xml	8	220
surgery_clinical_trials_pubmed25n0018.xml	5	215
surgery_clinical_trials_pubmed25n0019.xml	5	159
surgery_clinical_trials_pubmed25n0020.xml	3	172
surgery_clinical_trials_pubmed25n0021.xml	10	223
surgery_clinical_trials_pubmed25n0022.xml	10	217
surgery_clinical_trials_pubmed25n0023.xml	2	164
surgery_clinical_trials_pubmed25n0024.xml	6	181
surgery_clinical_trials_pubmed25n0025.xml	9	205
surgery_clinical_trials_pubmed25n0026.xml	7	419
surgery_clinical_trials_pubmed25n0027.xml	8	270
surgery_clinical_trials_pubmed25n0028.xml	7	186
surgery_clinical_trials_pubmed25n0029.xml	4	183
surgery_clinical_trials_pubmed25n0030.xml	7	175
surgery_clinical_trials_pubmed25n0031.xml	6	193
surgery_clinical_trials_pubmed25n0032.xml	8	182
surgery_clinical_trials_pubmed25n0033.xml	7	183
surgery_clinical_trials_pubmed25n0034.xml	5	136
surgery_clinical_trials_pubmed25n0035.xml	7	160
surgery_clinical_trials_pubmed25n0036.xml	7	359
surgery_clinical_trials_pubmed25n0037.xml	4	297
surgery_clinical_trials_pubmed25n0038.xml	8	234
surgery_clinical_trials_pubmed25n0039.xml	4	194
surgery_clinical_trials_pubmed25n0040.xml	6	222
surgery_clinical_trials_pubmed25n0041.xml	6	152
surgery_clinical_trials_pubmed25n0042.xml	5	223
surgery_clinical_trials_pubmed25n0043.xml	14	523
surgery_clinical_trials_pubmed25n0044.xml	29	435
surgery_clinical_trials_pubmed25n0045.xml	13	378
surgery_clinical_trials_pubmed25n0046.xml	22	544
surgery_clinical_trials_pubmed25n0047.xml	20	617
surgery_clinical_trials_pubmed25n0048.xml	20	654
surgery_clinical_trials_pubmed25n0049.xml	21	546
surgery_clinical_trials_pubmed25n0050.xml	16	543
surgery_clinical_trials_pubmed25n0051.xml	25	693
surgery_clinical_trials_pubmed25n0052.xml	37	668
surgery_clinical_trials_pubmed25n0053.xml	11	673
surgery_clinical_trials_pubmed25n0054.xml	19	582
surgery_clinical_trials_pubmed25n0055.xml	27	415
surgery_clinical_trials_pubmed25n0056.xml	17	460
surgery_clinical_trials_pubmed25n0057.xml	26	544
surgery_clinical_trials_pubmed25n0058.xml	14	581
surgery_clinical_trials_pubmed25n0059.xml	17	551
surgery_clinical_trials_pubmed25n0060.xml	13	525
surgery_clinical_trials_pubmed25n0061.xml	15	536
surgery_clinical_trials_pubmed25n0062.xml	16	665
surgery_clinical_trials_pubmed25n0063.xml	30	548
surgery_clinical_trials_pubmed25n0064.xml	15	563
surgery_clinical_trials_pubmed25n0065.xml	7	520
surgery_clinical_trials_pubmed25n0066.xml	12	559
surgery_clinical_trials_pubmed25n0067.xml	18	618
surgery_clinical_trials_pubmed25n0068.xml	6	560
surgery_clinical_trials_pubmed25n0069.xml	21	589
surgery_clinical_trials_pubmed25n0070.xml	18	569
surgery_clinical_trials_pubmed25n0071.xml	26	499
surgery_clinical_trials_pubmed25n0072.xml	12	483
surgery_clinical_trials_pubmed25n0073.xml	7	676
surgery_clinical_trials_pubmed25n0074.xml	18	672
